questionType,questionText,optionA,optionB,optionC,optionD,correctAnswer
M,Identify the anatomy from the definition: Any of the short muscles that extend between the ribs filling in most of the intervals between them and serving to move the ribs in respiration,Intercostals,Rectus Abdominus,Hamstring,Trapezius,a
M,Which part is located at the Front of upper arm?,Bicep,Trapezius,Triceps,Gastrocnemius,a
M,Identify the anatomy from the definition: The large muscle at the back of the arm,Triceps,Pectorals,Bicep,Mastoid,a
M,Identify the anatomy from the definition: The outer calf muscle that goes from the back of the knee to the heel,Rectus Abdominus,Quadricep,Bicep,Gastrocnemius,d
M,Which part is located at the Front mid-section?,Gluteus,Deltoid,Rectus Abdominus,Trapezius,c
M,Which part is located at the Front of thigh?,Pectorals,Latissimus Dorsi,Rectus Abdominus,Quadricep,d
M,Which part is located at the Lower-mid back?,Latissimus Dorsi,Deltoid,Triceps,Gluteus,a
M,Which part is located at the Buttocks?,Gluteus,Mastoid,Latissimus Dorsi,Quadricep,a
M,Identify the anatomy from the definition: A muscle in the head that helps move the head,Deltoid,Gastrocnemius,Mastoid,Latissimus Dorsi,c
M,Identify the anatomy from the definition: Either of two large muscles in the chest that help move the shoulder and upper arm,Gluteus,Mastoid,Pectorals,Deltoid,c
B,Identify the anatomy from the definition: The bony enclosing wall of the chest consisting of the ribs and connecting structures,Ilium,Scapula,Carpals,Ribcage,d
B,Identify the anatomy from the definition: The bones of the hand between the carpus and the phalanges,Metacarpals,Phalanges,Radius,Ulna,a
B,Identify the anatomy from the definition: The outer and usually smaller of the two bones between the knee and ankle,Femur,Metacarpals,Fibula,Ribcage,c
B,Identify the anatomy from the definition: Pair of large triangular bones forming the principal bone of the shoulder girdle,Carpals,Ilium,Scapula,Ulna,c
B,Identify the anatomy from the definition: The flat bone that articulates with the clavicles and the first seven pairs of ribs,Sternum,Phalanges,Vertebra,Ulna,a
B,Identify the anatomy from the definition: One of the digital bones of the hand or foot of a vertebrate,Tarsals,Metacarpals,Phalanges,Patella,b
B,Identify the anatomy from the definition: The bone on the little-finger side of the human forearm,Ulna,Patella,Sternum,Femur,a
B,Identify the anatomy from the definition: The proximal bone of the hind or lower limb that extends from the hip to the knee,Ribcage,Scapula,Femur,Tarsals,c
B,Identify the anatomy from the definition: The bones of the wrist,Vertebra,Ulna,Ischium,Carpals,d
B,Identify the anatomy from the definition: A thick flat triangular movable bone that forms the anterior point of the knee,Ischium,Radius,Patella,Metacarpals,c
M,What is the location of the Deltoid?,Back of thigh,Back of upper arm,Front of thigh,Shoulder,d
M,Which anatomy matches this definition: 'A pair of muscles located along the midline of the abdominal region...'?,Intercostals,Rectus Abdominus,Deltoid,Trapezius,b
M,What is the location of the Gluteus?,Shoulder,Upper front chest,Front of upper arm,Buttocks,d
M,Which anatomy matches this definition: 'The outer calf muscle that goes from the back of the knee to the heel...'?,Gastrocnemius,Latissimus Dorsi,Bicep,Rectus Abdominus,a
M,What is the location of the Trapezius?,Back of upper arm,Shoulder,Lower-mid back,Upper back and neck,d
M,Which anatomy matches this definition: 'A muscle in the head that helps move the head...'?,Mastoid,Intercostals,Deltoid,Bicep,a
M,What is the location of the Pectorals?,Back of lower leg,Front of thigh,Upper front chest,Back of upper arm,c
M,Which anatomy matches this definition: 'Any of the short muscles that extend between the ribs filling in most of the intervals between them...'?,Intercostals,Hamstring,Rectus Abdominus,Mastoid,a
M,What is the location of the Hamstring?,Buttocks,Upper front chest,Back of thigh,Lower-mid back,c
M,Which anatomy matches this definition: 'The greater extensor muscle of the front of the thigh that is divided into four parts...'?,Rectus Abdominus,Mastoid,Intercostals,Quadricep,d
B,What is the location of the Tibia?,Forearm (pinky side),Knee,Front of lower leg,Hip,c
B,Which anatomy matches this definition: 'A tarsal part (such as a bone or cartilage)...'?,Sternum,Patella,Tarsals,Tibia,c
B,What is the location of the Vertebra?,Upper-mid body,Forearm (thumb side),Back (skull to lower back),Upper back,c
B,Which anatomy matches this definition: 'The flat bone that articulates with the clavicles and the first seven pairs of ribs...'?,Cranium,Sternum,Ilium,Scapula,b
B,What is the location of the Ilium?,Knee,Wrists,Hip,Ankle,c
B,Which anatomy matches this definition: 'The part of the skull that encloses the brain...'?,Cranium,Vertebra,Fibula,Metacarpals,a
B,What is the location of the Femur?,Thigh,Upper arm,Upper back,Head/Skull,a
B,Which anatomy matches this definition: 'Five elongated bones which form the front of the instep and ball of the foot...'?,Radius,Phalanges,Metatarsals,Carpals,c
B,What is the location of the Radius?,Foot,Forearm (thumb side),Ankle,Hand,b
B,Which anatomy matches this definition: 'The bones of the wrist...'?,Metacarpals,Metatarsals,Humerus,Carpals,d
